Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,min,max,mean,mode,count,sum,kurtosis,var,std
Max Verstappen,2.0,1.0,2.0,2.0,1.0,18.0,1.0,1.0,1.0,,9.0,1.0,1.0,,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,18.0,2.65,1.0,20,53.0,12.34,16.13,4.02
Lewis Hamilton,1.0,2.0,1.0,1.0,7.0,15.0,2.0,2.0,4.0,12.0,2.0,3.0,2.0,,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,15.0,3.29,2.0,21,69.0,5.09,14.01,3.74
Valtteri Bottas,3.0,,3.0,3.0,,12.0,4.0,3.0,2.0,3.0,,12.0,3.0,3.0,5.0,1.0,6.0,15.0,3.0,,3.0,6.0,1.0,15.0,5.0,3.0,18,90.0,1.78,15.41,3.93
Sergio Pérez,5.0,11.0,4.0,5.0,4.0,1.0,3.0,4.0,6.0,16.0,,19.0,8.0,5.0,9.0,3.0,3.0,3.0,4.0,4.0,,15.0,1.0,19.0,6.6,4.0,20,132.0,1.14,24.46,4.95
Carlos Sainz Jr.,8.0,5.0,11.0,7.0,2.0,8.0,11.0,6.0,5.0,6.0,3.0,10.0,7.0,6.0,3.0,8.0,7.0,6.0,6.0,7.0,8.0,3.0,2.0,11.0,6.5,6.0,22,143.0,-0.18,5.98,2.44
Lando Norris,4.0,3.0,5.0,8.0,3.0,5.0,5.0,5.0,3.0,4.0,,14.0,10.0,2.0,7.0,7.0,8.0,10.0,10.0,9.0,10.0,7.0,2.0,14.0,6.62,5.0,21,139.0,-0.22,9.75,3.12
Charles Leclerc,6.0,4.0,6.0,4.0,,4.0,16.0,7.0,8.0,2.0,,8.0,5.0,4.0,15.0,4.0,4.0,5.0,5.0,8.0,7.0,10.0,2.0,16.0,6.6,4.0,20,132.0,2.31,12.99,3.6
Daniel Ricciardo,7.0,6.0,9.0,6.0,12.0,9.0,6.0,13.0,7.0,5.0,11.0,4.0,11.0,13.0,4.0,13.0,5.0,12.0,,12.0,5.0,12.0,4.0,13.0,8.67,12.0,21,182.0,-1.73,11.13,3.34
Pierre Gasly,17.0,7.0,10.0,10.0,6.0,3.0,7.0,,9.0,11.0,5.0,6.0,4.0,,13.0,6.0,,4.0,7.0,11.0,6.0,5.0,3.0,17.0,7.74,6.0,19,147.0,1.09,12.54,3.54
Fernando Alonso,,10.0,8.0,17.0,13.0,6.0,8.0,9.0,10.0,7.0,4.0,11.0,6.0,8.0,6.0,16.0,,9.0,9.0,3.0,13.0,8.0,3.0,17.0,9.05,8.0,20,181.0,0.35,13.0,3.61
Esteban Ocon,13.0,9.0,7.0,9.0,9.0,,14.0,14.0,,9.0,1.0,7.0,9.0,10.0,14.0,10.0,,13.0,8.0,5.0,4.0,9.0,1.0,14.0,9.16,9.0,19,174.0,0.27,12.36,3.52
Sebastian Vettel,15.0,15.0,13.0,13.0,5.0,2.0,9.0,12.0,17.0,,,5.0,13.0,12.0,12.0,18.0,10.0,7.0,11.0,10.0,,11.0,2.0,18.0,11.05,12.0,19,210.0,0.11,17.05,4.13
Lance Stroll,10.0,8.0,14.0,11.0,8.0,,10.0,8.0,13.0,8.0,,20.0,12.0,7.0,11.0,9.0,12.0,14.0,,6.0,11.0,13.0,6.0,20.0,10.79,8.0,19,205.0,2.24,10.62,3.26
Yuki Tsunoda,9.0,12.0,15.0,,16.0,7.0,13.0,10.0,12.0,10.0,6.0,15.0,,,17.0,14.0,9.0,,15.0,13.0,14.0,4.0,4.0,17.0,11.72,15.0,18,211.0,-0.45,13.39,3.66
George Russell,14.0,,16.0,14.0,14.0,17.0,12.0,,11.0,12.0,8.0,2.0,17.0,9.0,10.0,15.0,14.0,16.0,13.0,17.0,,,2.0,17.0,12.83,14.0,18,231.0,2.47,14.74,3.84
Kimi Räikkönen,11.0,13.0,,12.0,11.0,10.0,17.0,11.0,15.0,15.0,10.0,18.0,,,8.0,12.0,13.0,8.0,12.0,14.0,15.0,,8.0,18.0,12.5,11.0,18,225.0,-0.35,7.79,2.79
Nicholas Latifi,18.0,,18.0,16.0,15.0,16.0,18.0,17.0,16.0,14.0,7.0,9.0,16.0,11.0,19.0,17.0,15.0,17.0,16.0,,12.0,,7.0,19.0,15.11,16.0,19,287.0,1.21,10.32,3.21
Antonio Giovinazzi,12.0,14.0,12.0,15.0,10.0,11.0,15.0,15.0,14.0,13.0,13.0,13.0,14.0,13.0,16.0,11.0,11.0,11.0,14.0,15.0,9.0,,9.0,16.0,12.9,11.0,21,271.0,-0.72,3.59,1.89
Mick Schumacher,16.0,16.0,17.0,18.0,18.0,13.0,19.0,16.0,18.0,18.0,12.0,16.0,18.0,15.0,,19.0,16.0,,18.0,16.0,,14.0,12.0,19.0,16.47,16.0,19,313.0,0.17,3.82,1.95
Robert Kubica,,,,,,,,,,,,,15.0,14.0,,,,,,,,,14.0,15.0,14.5,14.0,2,29.0,,0.5,0.71
Nikita Mazepin,,17.0,19.0,19.0,17.0,14.0,20.0,18.0,19.0,17.0,,17.0,,,18.0,20.0,17.0,18.0,17.0,18.0,,,14.0,20.0,17.81,17.0,16,285.0,1.95,2.16,1.47
