nombre_asentamiento,nombre_vialidad,pista,juegos_parque,aparatos_ejercicio,cancha,bebederos,botes_basura,georreferencia,area
Res. Periferico 1° Sec.,"Parque Anillo Vial Metropolitano, Entre Las Francisco Villa Y Av Universidad",True,True,True,False,False,True,"25.751013,-100.303712",23791.22
El Fundador,Plaza El Fundador; Piel Canela; Zacatecas,False,False,False,False,False,False,"25.758406,-100.27199",12674.02
Sin Colonia,Camellon De Republica Mexicana; Av Sendero Av Jorge Treviño,True,True,True,True,True,True,"25.750785,-100.278082",67372.51
El Naranjal O Huertas De San Bartolo,Parque Chapala; Republica Mexicana; Morenita Mia,True,True,True,True,True,True,"25.761138,-100.280892",27767.51
Las Puentes 3,Las Arboledas; Av Rep Mexicana; Av Las Puentes,True,True,True,True,True,True,"25.742537,-100.284573",44894.00
Los Reales,"Los Reales, Carlista Y Franquista",True,True,True,True,True,True,"25.723311,-100.238867",54871.00
Jardines Del Mezquital,"Parque Lineal Anillo Elect , Diego D De Berlanga Y Avenida 1",True,True,True,True,False,True,"25.753215,-100.246878",19913.80
Las Puentes 2° Sec,Av. San Nicolas Y Cerro De Mamulique (Parque De Las Ranas),True,False,False,True,False,True,"25.739541,-100.288978",8035.10
Villas De Anahuac,Anillo Periferico Entre Rincon De Los Cedros Y Torres De Falcon,True,True,True,True,False,True,"25.752159,-100.31424",27034.55
Potrero Anahuac,Ave. La Juventud Y Ojo De Agua,True,True,True,False,True,True,"25.734211,-100.296073",60000.00
Hacienda Los Angeles,Camellon De Av Las Torres De Av Miguel Aleman A Pinos,True,True,True,True,False,True,"25.727052,-100.223965",39182.28
